yesno_label	question	ideal_answer
1	Is Calcium/Calmodulin dependent protein kinase II (CaMKII) involved in cardiac arrhythmias and heart failure?	Calcium/calmodulin-dependent kinase II (CaMKII) is a multifunctional serine/threonine kinase expressed abundantly in the heart. CaMKII targets numerous proteins involved in excitation-contraction coupling and excitability, and its activation may simultaneously contribute to heart failure and cardiac arrhythmias.
1	Are psammoma bodies characteristic to meningiomas?	psammoma bodies are commonly seen and are characteristic to meningiomas. However, they can be also present in other types of tumors or non-neoplastic tissues.
1	Is the protein Asporin related to disease?	Accumulating evidence demonstrates the involvement of asporin in OA pathogenesis. Asporin has been reported as a tumor suppressor in breast cancer, while asporin-activated invasion has been described in gastric cancer.
0	Is bapineuzumab effective for treatment of patients with Alzheimer's disease?	Clinical trials have demonstrated that bapineuzumab, a humanized monoclonal antibody against the end terminus of amyloid plaques, is not effective for treatment of patients with Alzheimer's disease. The burden of beta amyloid plaques was reduced in response to bapineuzumab therapy. However, bapineuzumab therapy did not improve cognitive functioning and was associated with significant adverse effects in Alzheimer's disease patients.
1	Can you computationally predict Molecular Recognition Features (MoRFs) regions in Intrinsically Disordered Proteins (IDPs)?	There are various tools available in the literature that enable computational identification of Molecular Recognition Features (MoRFs) regions in intrinsically disordered protein sequences.
1	Is there evidence to suggest that triiodothyronine has neuroprotective properties in traumatic brain injury?	it has been demonstrated that triiodothyronine exerts neuroprotective properties in traumatic brain injury setting.
0	Is amiodarone a class I anti-arrhythmic drug?	Although considered to be a class III anti-arrhythmic, amiodarone also has class I, II and IV actions, which gives it a unique pharmacological and anti-arrhythmic profile
1	Is Turcot syndrome associated with glioblastoma?	"Turcot syndrome is associated with glioblastoma. Turcot syndrome is an autosomal recessive disorder clinically characterized by the occurrence of primary glial tumors of the central nervous system, including glioblastoma, and adenomatous colonic polyps during the first or second decades of life, with a spectrum of clinical features such as ""café-au-lait"" spots, axillary freckling, and hyperpigmented spots."
1	Are cyclophilins ubiquitously expressed?	cyps (cyclophilins) are ubiquitous proteins of the immunophilin superfamily.
1	Is Growth factor independence 1b (GFI1B) important for hematopoiesis?	Gfi-1B is a transcriptional repressor essential for the regulation of erythropoiesis and megakaryopoiesis.  Gfi-1b(-/-) embryonic stem cells fail to contribute to red cells of adult chimeras. Gfi-1b(-/-) embryos exhibit delayed maturation of primitive erythrocytes and subsequently die with failure to produce definitive enucleated erythrocytes.
1	Is davunetide being considered for the treatment of progressive supranuclear palsy?	Davunetide's efficacy and tolerability are being tested in a placebo-controlled study in PSP patients.
0	Is p100 the precursor protein molecule of the NF-kappaB transcription factor subunit p50?	the precursor molecule for NF-kappaB p50 is p105 and not p100. Nfkb2 encodes two members of the NF-kappa B/Rel family of proteins: p52 and p100. The p100 polypeptide has been proposed to serve as a precursor of p52 (and not of p50), which corresponds to the N-terminal half of p100. NF-kappaB functions as a hetero- or homo-dimer which can be formed from five NF-kappaB subunits, NF-kappaB1 (p50 and its precursor p105), NF-kappaB2 (p52 and its precursor p100), RelA (p65), RelB and c-Rel.
1	Is there an association between Klinefelter syndrome and breast cancer?	Klinefelter syndrome is associated with increased risk of male breast cancer. Other risk factors of male breast cancer are positive family history, and mutations in BRCA1 and specially BRCA2.
1	Are transcription and splicing connected?	There is strong evidence that splicing and transcription are intimately coupled in metazoans, with  genome wide surveys show that most splicing occurs during transcription. Chromatin structure, RNA polymerase dynamics, and recruitment of splicing factors through the transcriptional machinery are factors that explain a role for transcription in the regulation of splicing.
1	Are Conserved Nonexonic Elements (CNEEs) important in phylogenomics research?	Conserved Nonexonic Elements (CNEEs) appear to be promising as phylogenomic markers, yielding phylogenetic resolution as high as for UCEs and introns but with fewer gaps, less ambiguity in alignments and with patterns of nucleotide substitution more consistent with the assumptions of commonly used methods of phylogenetic analysis.
1	Is p53 a transcription factor?	p53 is a sequence-specific transcription factor.
1	Are retroviruses used for gene therapy?	Gene therapy is one of the most promising and active fields in therapeutic research. Gene therapy is a treatment option that introduces genetic material in vivo or ex vivo into the cells of an affected organism in order to: exchange a defective gene; manipulate a disease-related gene; or introduce an additional gene copy for overexpression of the encoded protein to generate a curative biological effect. Somatic gene therapy is gene transfer by a specific vector to a somatic cell; in contrast to germline gene therapy, the modification of the cell is restricted to the recipient and cannot be passed to her/his progeny. High efficiency of gene transfer, high specificity for the target cells, long-lasting expression of the transgene and safety without adverse reactions are the desired characteristics of an ideal vector for gene transfer. Retroviral (gretroviral and lentiviral) vectors have now been used in more than 350 gene-therapy studies. Retroviral vectors are particularly suited for gene-correction of cells due to long-term and stable expression of the transferred transgene(s), and also because little effort is required for their cloning and production. Several monogenic inherited diseases, mostly immunodeficiencies, can now be successfully treated.
1	Is the JNK pathway activated during liver regeneration?	the Jun-N-terminal kinase (JNK) pathway is strongly activated after partial hepatectomy.
1	Can valproic acid prolong survival of glioblastoma patients?	there is evidence to suggest that valproic acid (VPA) is associated with prolonged survival of glioblastoma patients. Several studies have indicated that VPA has radiosensitizing effects for gliomas and radioprotective influence on normal brain tissue or hippocampal neurons.
1	Is sonidegib effective for basal cell carcinoma?	Sonidegib, an oral smoothened antagonist, is indicated for the treatment of adults with locally advanced basal cell carcinoma (laBCC) who are not candidates for surgery or radiation therapy, or adults with recurrent laBCC following surgery or radiation therapy.
0	Are selenium supplements recommended for prostate cancer prevention?	The SELECT study failed to show any significant risk reduction for prostate cancers ascribable to selenium and vitamin E supplementations.
1	Can the Micro-C XL method achieve mononucleosome resolution?	Micro-C XL is an improved method for analysis of chromosome folding at mononucleosome resolution.
1	Is there a relationship between B cells and Multiple Sclerosis?	MS patients with high neurodegeneration have changes in B cells characterized by down-regulation of B-cell-specific genes and increased activation status
1	Is infertility characteristic of individuals with Fanconi anemia?	infertility is characteristic of individuals with Fanconi anemia.
1	Could transcription factors act as cell-cell signalling molecules?	Recent data support the view that transcription factors - in particular, homeoproteins - can be transferred from cell to cell and have direct non-cell-autonomous (and therefore paracrine) activities.
0	Does deflazacort have more side effects than prednisone?	Deflazacort produces fewer side effects than Prednisone in DMD patients.
0	Are cutaneous porphyrias inherited with a recessive pattern?	cutaneous porphyrias are inherited in a dominant (not recessive) pattern.
1	Are seizures among the neurological symptoms of incontinentia pigmenti?	Incontinentia pigmenti is an X-linked dominant disorder resulting from a mutation of IKBKG. This disorder has a classic dermatologic presentation, but neurologic involvement, with seizures and cortical infarction, can arise shortly after birth.
0	Does GC content vary markedly within a given isochore?	Isochores are relatively long regions with a relatively homogeneous GC content, and with rather sharp boundaries with neighboring isochores. The base composition, and thus the GC content may differ between different isochores, but is more or less consistent within a given isochore.
1	Is cohesin linked to myeloid differentiation?	There has been a link found between cohesin and myeloid differentiation which may help explain the prevalence of cohesin mutations in human acute myeloid leukemia.
1	Is lenvatinib effective for thyroid cancer?	lenvatinib is effective for thyroid cancer.
1	Are conserved noncoding elements associated with the evolution of animal body plans?	"Cis-regulatory inputs identified by CNEs arose during the ""re-wiring"" of regulatory interactions that occurred during early animal evolution. Consequently, different animal groups, with different core GRNs, contain alternative sets of CNEs. Due to the subsequent stability of animal body plans, these core regulatory sequences have been evolving in parallel under strong purifying selection in different animal groups."
1	Does melanoma  occur in people of African origin ?	Africans with dark skin have a reduced risk of getting all types of skin cancer as compared with Caucasians. The incidence of malignant melanoma in Johannesburg Black was 1,2 per 100 000 and accounted for 2% of all cancers. The largest number of cases occurred in the 50- 70-year age group and there was a female preponderance. As in previous studies, the sites predominantly affected were the foot and the hand, mainly on the plantar and palmar surfaces.
1	Is there any tool that facilitates the functional analysis of cis-regulatory regions in zebrafish?	The zebrafish enhancer detection (ZED) vector is a tool that facilitates transgenesis and the functional analysis of cis-regulatory regions in zebrafish.
1	Is alternative splicing of apoptotic genes playing a role in the response to DNA or mitochondrial damage?	alternative splicing seem to play a key role in the response to DNA or mitocondrial damage as suggested by the number of apoptotic genes that are alternatively spliced, with often antagonistic roles of the isoforms generated.
1	Are the Fanconi anemia genes a part of the same signalling pathway?	The FA genes code for proteins that act in complexes to coordinate the repair of damaged DNA
1	Is ABCE1 involved in ribosomal recycling?	recent studies have identified ABCE1 as a ribosome-recycling factor important for translation termination in mammalian cells, yeast and also archaea
1	Does a linker histone exist in the yeast genome?	Here, we present our results showing a connection between the linker histones, the higher-order chromatin structures, and the process of chronological lifespan of yeast cells. Characteristically, linker histone depleted chromatin generally exhibited longer chromatin loops than the wild-type. These results suggest that HHO1p may play a similar role to linker histones, but at restricted locations in the chromatin. The binding was structure specific, since the use of double-stranded DNA, or a mutant Hho1p in which the second DNA binding site of globular domain 1 was abolished, resulted in a significant decrease in bridged binding.
1	Do yeast LTR give rise to circular DNA?	A recent study on circular DNAs in yeast found that transposable element sequence residing in circular structures mostly corresponded to full-length transposable elements. Circular retrotransposition products are generated by a LINE retrotransposon. Yeast LTR elements generate circular DNAs through recombination events between their flanking long terminal repeats (LTRs). Circular DNAs can be generated by recombination between LTRs residing at different genomic loci, in which case the circular DNA will contain the intervening sequence.
0	Are the genes for marneral biosynthesis scattered in the genome of A. thaliana?	These clusters are unlikely to have arisen by horizontal gene transfer, and the mechanisms behind their formation are poorly understood. Here we characterize a second operon-like triterpene cluster (the marneral cluster) from A. thaliana, compare the features of these two clusters, and investigate the evolutionary events that have led to cluster formation.
0	Does the word ovine refers to goats?	Ovine refers to sheep.
1	Is mitofusin 2 a receptor for parkin?	Mfn2 functions as a mitochondrial receptor for Parkin.
1	is there an increase in ultrasound comets after intense exercise?	Strenuous exercise and exercise perfomed in extreme conditions provoke increase in interstitial pulmonary water content as shown by the increased number of ultrasuond comets
1	Are transcribed ultraconserved regions involved in cancer?	it appears that there is widespread T-UCR (Transcribed - UltraConserved Region) involvement in diverse cellular processes that are deregulated in the process of tumourigenesis. Transcribed ultraconserved regions (T-UCRs) are a subset of 481 sequences longer than 200 bp, which are absolutely conserved between orthologous regions of human, rat and mouse genomes, and are actively transcribed. It has recently been proven in cancer systems that differentially expressed T-UCRs could alter the functional characteristics of malignant cells.
1	Are thyroid hormone receptor alpha1 mutations implicated in thyroid hormone resistance syndrome?	The lack of TR alpha1 exacerbates the manifestation of RTH in TR betaPV mice. Therefore, TR alpha1 could play a compensatory role in mediating the functions of T3 in heterozygous patients with RTH
1	Are piRNAs involved in gene silencing?	Piwi induces piRNA-guided transcriptional silencing and establishment of a repressive chromatin state. piRNA-guided slicing of transposon transcripts enforces their transcriptional silencing via specifying the nuclear piRNA repertoire. Transcriptional silencing implies a piRNA-mediated formation of repressive chromatin which diminishes the transcriptional capacity of the target locus.
1	Does Vitamin D induce  autophagy?	vitamin D induces autophagy.
1	Is there any role of 5hmC in T-cell development and differentiation?	5hmC is enriched in the gene body of highly expressed genes at all different stages of T-cell development in the thymus and that its presence correlates positively with gene expression. Further emphasizing the connection with gene expression, 5hmC is enriched in active thymus-specific enhancers and genes encoding key transcriptional regulators display high intragenic 5hmC levels in precursor cells at those developmental stages where they exert a positive effect.
0	Is Brucella abortus the organism that causes brucillosis known to cause spontaneous abortions in humans?	Human brucellosis symptoms and clinical signs most commonly reported are fever, fatigue, malaise, chills, sweats headaches, myalgia, arthralgia, and weight loss. Some cases have been presented with only joint pain, lower backache, and involuntary limb movement, burning feet, or ischemic heart attacks.
1	Are defects in recombination repair involved in carcinogenesis?	The breast cancer-associated BRCA1 and BRCA2 proteins are strongly implicated in recombination repair.
1	Is cystatin C or cystatin 3 used as a biomarker of kidney function?	cystatin C (CysC) is a  novel biomarker of renal function.
1	Can SUMO affect calcium homeostasis?	SUMO proteins can affect calcium homeostasis.
1	Is the SDHAF2 gene encoding a protein necessary for flavination of SDHA?	SDHAF2 or hSDH5, is the gene encoding the enzyme responsible for the flavination of SDHA.
1	Is there a relation between ANP and transcapillary albumin escape?	A possible role of ANP gene in conferring protection from nephropathy and microvascular damage in type 1 diabetes is present. ANP infusion in healthy subjects caused a shift of plasma water and electrolytes from the circulation, with albumin escape as a secondary phenomenon
0	There is no drug available to prevent HIV infection, Pre-exposure prophylaxis (PrEP), yes or no?	Pre-exposure prophylaxis (PrEP) with the drug combination Truvada can substantially decrease HIV transmission in individuals at risk.
1	Are there ways of joint Bayesian inference of risk variants?	RiVIERA (Risk Variant Inference using Epigenomic Reference Annotations) is a Bayesian model for inference of driver variants from summary statistics across multiple traits using hundreds of epigenomic annotations.
1	Are phagosomal proteins ubiquitinated?	Phagosomal proteins are ubiquitylated, and ubiquitylation was found to be required for formation of acidic multivesicular structures.
1	Is Lysine-specific demethylase 1 (LSD1) a critical regulator of hematopoiesis?	Lysine-specific demethylase 1 restricts hematopoietic progenitor proliferation and is essential for terminal differentiation of erythroid, granulomonocytic and megakaryocytic progenitors.
1	Could Arimidex (anastrozole) cause hot flashes?	Hot flashes are one of the most common adverse effects of Arimidex.
1	Is cariprazine effective for treatment of bipolar disorder?	cariprazine is effective for bipolar disorder.
1	Can mitochondria pass through membrane nanotubes?	"Membrane nanotubes (MNTs) act as ""highways"" between cells to facilitate the transfer of multiple signals and play an important role in many diseases. Our previous work reported on the transfer of mitochondria via MNTs between cardiomyocytes (CMs) and cardiac myofibroblasts (MFs)."
1	Is exon skipping correlated with exon circularization?	Circularization of exons is widespread and correlates with exon skipping, a feature that adds considerably to the regulatory complexity of the human transcriptome.
1	Is microRNA(miRNA) 30 involved in post-ischemic cardiac remodeling?	Myocardial remodeling after an ischemic insult involves extracellular matrix proteins with increased fibrosis Initial experimental data indicate that miRNA 30 decreases CTGF a key molecule in the process of fibrosis, by directly downregulating the production of CTGF
0	Is endostatin a proangiogenic factor?	endostatin is an antiangiogenic factor
1	Is pacritinib effective for treatment of myelofibrosis?	Pacritinib (PAC), a multi-kinase inhibitor with specificity for JAK2, FLT3, and IRAK1 but sparing JAK1, has demonstrated clinical activity in myelofibrosis with minimal myelosuppression.
1	Is NEMO a zinc finger protein?	NEMO function is mediated by two distal ubiquitin binding domains located in the regulatory C-terminal domain of the protein: the coiled-coil 2-leucine zipper (CC2-LZ) domain and the zinc finger (ZF) domain.
1	Are deletions of chromosomal regulatory boundaries associated with congenital disease?	Enhancer adoption caused by deletions of regulatory boundaries may contribute to a substantial minority of copy-number variation phenotypes and should thus be taken into account in their medical interpretation.
1	Is apremilast effective for psoriasis?	apremilast is effective for treatment of psoriasis.
1	Do proton pump inhibitors affect thyroxine absorption?	Proton-pump inhibitors, antacids and a long list of drugs may decrease thyroxine absorption. Patients with hypothyroidism and normal TSH values during LT4 replacement therapy may need additional thyroid function testing after treatment with PPIs and may need adjustment of their LT4 dose.
1	Are mutations in the STXBP1 gene associated with epilepsy?	mutations in STXBP1 gene, encoding the syntaxin binding protein 1, have been recently described in Ohtahara syndrome, or early infantile epileptic encephalopathy with suppression-burst pattern, and in other early-onset epileptic encephalopathies.
1	Is there increased incidence of incontinence in athletes?	There is a very high prevalence of urinary incontinence in women athletes.
1	Has ruxolitinib received FDA approval?	ruxolitinib is FDA approved. In 2011 the oral JAK2 kinase inhibitor ruxolitinib became the first Food and Drug Administration (FDA)-approved drug for the treatment of myelofibrosis.
1	Is there any software for automated analysis of FISH images?	FISH is a popular molecular cytogenetic method. The output of a single FISH analysis is a set of several tens or hundreds microscopic images — a single evaluated sample is of roughly 20mm diameter. The goal of an automated evaluation is to replace the subjective evaluation of images by the laboratory technician to achieve higher uniformity of results. Following explanation of the principle of the method and the typical contents of images, the processing flow of image segmentation is outlined and the results are presented on several example images. Based on results there are software for automated analysis of FISH images.
1	Is PTEN involved in follicular thyroid carcinoma?	The PTEN mutation frequency in unselected cases of follicular thyroid carcinoma was 4.8%.
1	Are there any animal models for Niemann-Pick C1 disease?	murine models of Niemann-Pick type C disease (NPC) exist. They are either homozygous or heterozygous NPC1-deficient [NPC1 (-/-)]/  [NPC1 (+/-)] mouse models.
0	Is polyadenylation a process that stabilizes a protein by adding a string of Adenosine residues to the end of the molecule?	polyadenylation is a process that stabilizes mRNA by adding up to 200 adenosine residues to the 3' end of the trabscript
1	Could BRCA gene test used for breast and ovarian cancer risk?	BRCA gene test could be used for breast and ovarian cancer risk, as female BRCA1 and BRCA2 mutations are significantly associated with risk of developing breast and ovarian cancers.
0	Is erythropoietin effective for treatment of amyotrophic lateral sclerosis?	erythropoietin is not effective for treatment of amyotrophic lateral sclerosis.
1	Can sorafenib activate AMPK?	Sorafenib induces persisten AMPK activation
1	Have apolipoprotein mimetics been used in clinical trials?	apolipoprotein mimetics have entered clinical trials.
1	Are Notch mutations related to T-cell Acute Lymphoblastic Leukemia (T-ALL)?	tch1 is a transmembrane receptor that is frequently mutated in human T-cell acute lymphoblastic leukemia (T-ALL). Activating mutations in NOTCH1, an essential regulator of T cell development, are frequently found in human T cell acute lymphoblastic leukemia (T-ALL).
1	Is Marfan syndrome associated with chordal rupture?	chordal rupture was described in patients with Marfan syndrome.
1	Are pseudogenes enriched with housekeeping protein families?	housekeeping families tend to be enriched with a large number of pseudogenes.
1	"Has ""RNA interference"" been awarded Nobel prize?"	Since the first unequivocal description of RNA interference (RNAi) in 1998, it has remained one of the hottest topics under investigation, culminating in the award of a Nobel Prize to its discoverers in 2006.
1	Is POLD3 essential for mouse development?	The Pold3 gene encodes a subunit of the Polδ DNA polymerase complex. Pold3 orthologs are not essential in Saccharomyces cerevisiae or chicken DT40 cells, but the Schizosaccharomyces pombe ortholog is essential. POLD3 also has a specialized role in the repair of broken replication forks, suggesting that POLD3 activity could be particularly relevant for cancer cells enduring high levels of DNA replication stress. In mouse, POLD3 is essential for development and is also required for viability in adult animals.
1	Does Yersinia pestis causes a respiratory infection?	Inhalation of Yersinia pestis results in primary pneumonic plague.
1	Has Glyceraldehyde 3-phosphate dehydrogenase (GAPDH) been reported to be a plasminogen receptor in pathogenic bacteria?	Glyceraldehyde 3-phosphate dehydrogenase (GAPDH) has been reported to be a plasminogen receptor in many pathogenic bacteria.
1	Is there association of matrix metalloproteinases with behaviour of pituitary adenomas?	there is evidence to suggest that matrix metalloproteinases are associated with more aggressive of pituitary adenomas.
1	Are long non coding RNAs spliced?	Long non coding RNAs appear to be spliced through the same pathway as the mRNAs
1	Is olaparib effective for prostate cancer?	olaparib was shown to be effective for treatment of prostate cancer. Olaparib led to stable disease or tumor regressions of prostate cancer patients.
1	Is there any cross-talk between the Wnt and the Akt pathways?	The Wnt/β-catenin and PI3K/Akt signaling pathways cross-talk mainly through the activity of GSK-3β, a common component of both pathways, but also through the activity of other signaling transducers, such as Cby or WISP-1.
0	Are recessive coding variants responsible for the majority of undiagnosed nonconsanguineous individuals?	It is suggested that recessive coding variants account for a small fraction of currently undiagnosed nonconsanguineous individuals, and that the role of noncoding variants, incomplete penetrance, and polygenic mechanisms need further exploration.
1	Is PLK2 involved in alpha-synuclein phosphorylation in Parkinson disease?	PLK2 directly phosphorylates alpha-synuclein at Ser-129 in an in vitro biochemical assayThese results indicate that PLK2 plays a critical role in alpha-synuclein phosphorylation in central nervous system.
1	Is there any relationship between histone ubiquitylation and splicing?	in the case of histone H2B
1	Is there any involvement of the long non-coding RNA Gomafu in schizophrenia?	The long non-coding RNA Gomafu is acutely regulated in response to neuronal activation and involved in schizophrenia-associated alternative splicing.
